source_path,exists,row_count,candidate_columns,source_role,usable_for_fork_exposure,source_gap_reason
outputs\activity_points_osm_nlsc_corrected_v1c_refit_mainline_offset3\qixing_lengshuikeng\37_1\qixing_lengshuikeng_37_1_activity_points_osm_nlsc_corrected_v1c.csv,True,9533,route_folder|case_id|subject_id|trial_id|row_index|point_index|activity_id|timestamp_s|elapsed_sec|dt_sec|lat|lon|ele_m|distance_m|heart_rate_bpm|route_dist_m|projected_route_dist_m|nearest_route_dist_m|reliable_route_dist_m|route_progress_reliable|route_progress_state|route_projection_confidence|route_projection_note|offset_m|segment_id|direction_hint|match_quality|source_file|sequence_match_score|candidate_rank|route_dist_delta_m|reliable_route_dist_delta_m|implied_route_speed_mps|sequence_jump_guard_flag|sequence_branch_ambiguity_flag|summit_dist_m|summit_reached_flag|candidate_phase|summit_transition_lock_applied|summit_transition_release_flag|source_csv_row_index|usable_on_route|excluded_reason|excursion_id|manual_override_applied|manual_event_id|manual_label|manual_interpretation|segment_role|route_progress_excluded|route_context_dist_m|route_context_ele_smooth|route_context_ele_gpx_m|route_context_slope_band_window_nlsc|route_context_terrain_window_risk_score|route_context_hydro_terrain_amplifier_score|route_context_osm_terrain_combined_risk_score|route_context_osm_terrain_combined_risk_band|route_context_osm_highway|route_context_osm_surface|route_context_surface_class|route_context_route_semantic_class|route_context_facility_flags|route_context_rest_flags|route_context_support_flags|route_context_hydrology_flags|route_context_visibility_class|route_context_osm_difficulty_class|route_context_join_dist_diff_m|route_context_match_status|activity_route_context_join_dist_col|route_context_model_status|route_context_model_usable|route_context_model_exclusion_reason|route_context_model_offset_col|route_context_model_max_offset_m|route_context_source_fp|activity_points_source_fp|route_context_model_status_v1c|route_context_model_usable_v1c,activity_mapmatch_or_wrong_branch_diagnostic_not_fork_inventory,False,"Branch ambiguity and wrong-branch diagnostics are useful navigation behavior context, but they do not enumerate route fork or decision point exposure."
outputs\activity_points_osm_nlsc_corrected_v1c_refit_mainline_offset3\qixing_lengshuikeng\38_1\qixing_lengshuikeng_38_1_activity_points_osm_nlsc_corrected_v1c.csv,True,16606,route_folder|case_id|subject_id|trial_id|row_index|point_index|activity_id|timestamp_s|elapsed_sec|dt_sec|lat|lon|ele_m|distance_m|heart_rate_bpm|route_dist_m|projected_route_dist_m|nearest_route_dist_m|reliable_route_dist_m|route_progress_reliable|route_progress_state|route_projection_confidence|route_projection_note|offset_m|segment_id|direction_hint|match_quality|source_file|sequence_match_score|candidate_rank|route_dist_delta_m|reliable_route_dist_delta_m|implied_route_speed_mps|sequence_jump_guard_flag|sequence_branch_ambiguity_flag|summit_dist_m|summit_reached_flag|candidate_phase|summit_transition_lock_applied|summit_transition_release_flag|source_csv_row_index|usable_on_route|excluded_reason|excursion_id|manual_override_applied|manual_event_id|manual_label|manual_interpretation|segment_role|route_progress_excluded|route_context_dist_m|route_context_ele_smooth|route_context_ele_gpx_m|route_context_slope_band_window_nlsc|route_context_terrain_window_risk_score|route_context_hydro_terrain_amplifier_score|route_context_osm_terrain_combined_risk_score|route_context_osm_terrain_combined_risk_band|route_context_osm_highway|route_context_osm_surface|route_context_surface_class|route_context_route_semantic_class|route_context_facility_flags|route_context_rest_flags|route_context_support_flags|route_context_hydrology_flags|route_context_visibility_class|route_context_osm_difficulty_class|route_context_join_dist_diff_m|route_context_match_status|activity_route_context_join_dist_col|route_context_model_status|route_context_model_usable|route_context_model_exclusion_reason|route_context_model_offset_col|route_context_model_max_offset_m|route_context_source_fp|activity_points_source_fp|route_context_model_status_v1c|route_context_model_usable_v1c,activity_mapmatch_or_wrong_branch_diagnostic_not_fork_inventory,False,"Branch ambiguity and wrong-branch diagnostics are useful navigation behavior context, but they do not enumerate route fork or decision point exposure."
outputs\activity_points_osm_nlsc_corrected_v1c_refit_mainline_offset3\qixing_lengshuikeng\3_1\qixing_lengshuikeng_3_1_activity_points_osm_nlsc_corrected_v1c.csv,True,7873,route_folder|case_id|subject_id|trial_id|row_index|point_index|activity_id|timestamp_s|elapsed_sec|dt_sec|lat|lon|ele_m|distance_m|heart_rate_bpm|route_dist_m|projected_route_dist_m|nearest_route_dist_m|reliable_route_dist_m|route_progress_reliable|route_progress_state|route_projection_confidence|route_projection_note|offset_m|segment_id|direction_hint|match_quality|source_file|sequence_match_score|candidate_rank|route_dist_delta_m|reliable_route_dist_delta_m|implied_route_speed_mps|sequence_jump_guard_flag|sequence_branch_ambiguity_flag|summit_dist_m|summit_reached_flag|candidate_phase|summit_transition_lock_applied|summit_transition_release_flag|source_csv_row_index|usable_on_route|excluded_reason|excursion_id|manual_override_applied|manual_event_id|manual_label|manual_interpretation|segment_role|route_progress_excluded|route_context_dist_m|route_context_ele_smooth|route_context_ele_gpx_m|route_context_slope_band_window_nlsc|route_context_terrain_window_risk_score|route_context_hydro_terrain_amplifier_score|route_context_osm_terrain_combined_risk_score|route_context_osm_terrain_combined_risk_band|route_context_osm_highway|route_context_osm_surface|route_context_surface_class|route_context_route_semantic_class|route_context_facility_flags|route_context_rest_flags|route_context_support_flags|route_context_hydrology_flags|route_context_visibility_class|route_context_osm_difficulty_class|route_context_join_dist_diff_m|route_context_match_status|activity_route_context_join_dist_col|route_context_model_status|route_context_model_usable|route_context_model_exclusion_reason|route_context_model_offset_col|route_context_model_max_offset_m|route_context_source_fp|activity_points_source_fp|route_context_model_status_v1c|route_context_model_usable_v1c,activity_mapmatch_or_wrong_branch_diagnostic_not_fork_inventory,False,"Branch ambiguity and wrong-branch diagnostics are useful navigation behavior context, but they do not enumerate route fork or decision point exposure."
outputs\activity_points_osm_nlsc_corrected_v1c_refit_mainline_offset3\qixing_lengshuikeng\40_1\qixing_lengshuikeng_40_1_activity_points_osm_nlsc_corrected_v1c.csv,True,7714,route_folder|case_id|subject_id|trial_id|row_index|point_index|activity_id|timestamp_s|elapsed_sec|dt_sec|lat|lon|ele_m|distance_m|heart_rate_bpm|route_dist_m|projected_route_dist_m|nearest_route_dist_m|reliable_route_dist_m|route_progress_reliable|route_progress_state|route_projection_confidence|route_projection_note|offset_m|segment_id|direction_hint|match_quality|source_file|sequence_match_score|candidate_rank|route_dist_delta_m|reliable_route_dist_delta_m|implied_route_speed_mps|sequence_jump_guard_flag|sequence_branch_ambiguity_flag|summit_dist_m|summit_reached_flag|candidate_phase|summit_transition_lock_applied|summit_transition_release_flag|source_csv_row_index|usable_on_route|excluded_reason|excursion_id|manual_override_applied|manual_event_id|manual_label|manual_interpretation|segment_role|route_progress_excluded|route_context_dist_m|route_context_ele_smooth|route_context_ele_gpx_m|route_context_slope_band_window_nlsc|route_context_terrain_window_risk_score|route_context_hydro_terrain_amplifier_score|route_context_osm_terrain_combined_risk_score|route_context_osm_terrain_combined_risk_band|route_context_osm_highway|route_context_osm_surface|route_context_surface_class|route_context_route_semantic_class|route_context_facility_flags|route_context_rest_flags|route_context_support_flags|route_context_hydrology_flags|route_context_visibility_class|route_context_osm_difficulty_class|route_context_join_dist_diff_m|route_context_match_status|activity_route_context_join_dist_col|route_context_model_status|route_context_model_usable|route_context_model_exclusion_reason|route_context_model_offset_col|route_context_model_max_offset_m|route_context_source_fp|activity_points_source_fp|route_context_model_status_v1c|route_context_model_usable_v1c,activity_mapmatch_or_wrong_branch_diagnostic_not_fork_inventory,False,"Branch ambiguity and wrong-branch diagnostics are useful navigation behavior context, but they do not enumerate route fork or decision point exposure."
outputs\activity_points_osm_nlsc_corrected_v1c_refit_mainline_offset3\qixing_lengshuikeng\41_1\qixing_lengshuikeng_41_1_activity_points_osm_nlsc_corrected_v1c.csv,True,7077,route_folder|case_id|subject_id|trial_id|row_index|point_index|activity_id|timestamp_s|elapsed_sec|dt_sec|lat|lon|ele_m|distance_m|heart_rate_bpm|route_dist_m|projected_route_dist_m|nearest_route_dist_m|reliable_route_dist_m|route_progress_reliable|route_progress_state|route_projection_confidence|route_projection_note|offset_m|segment_id|direction_hint|match_quality|source_file|sequence_match_score|candidate_rank|route_dist_delta_m|reliable_route_dist_delta_m|implied_route_speed_mps|sequence_jump_guard_flag|sequence_branch_ambiguity_flag|summit_dist_m|summit_reached_flag|candidate_phase|summit_transition_lock_applied|summit_transition_release_flag|source_csv_row_index|usable_on_route|excluded_reason|excursion_id|manual_override_applied|manual_event_id|manual_label|manual_interpretation|segment_role|route_progress_excluded|route_context_dist_m|route_context_ele_smooth|route_context_ele_gpx_m|route_context_slope_band_window_nlsc|route_context_terrain_window_risk_score|route_context_hydro_terrain_amplifier_score|route_context_osm_terrain_combined_risk_score|route_context_osm_terrain_combined_risk_band|route_context_osm_highway|route_context_osm_surface|route_context_surface_class|route_context_route_semantic_class|route_context_facility_flags|route_context_rest_flags|route_context_support_flags|route_context_hydrology_flags|route_context_visibility_class|route_context_osm_difficulty_class|route_context_join_dist_diff_m|route_context_match_status|activity_route_context_join_dist_col|route_context_model_status|route_context_model_usable|route_context_model_exclusion_reason|route_context_model_offset_col|route_context_model_max_offset_m|route_context_source_fp|activity_points_source_fp|route_context_model_status_v1c|route_context_model_usable_v1c,activity_mapmatch_or_wrong_branch_diagnostic_not_fork_inventory,False,"Branch ambiguity and wrong-branch diagnostics are useful navigation behavior context, but they do not enumerate route fork or decision point exposure."
outputs\activity_points_osm_nlsc_corrected_v1c_refit_mainline_offset3\qixing_lengshuikeng\42_1\qixing_lengshuikeng_42_1_activity_points_osm_nlsc_corrected_v1c.csv,True,10287,route_folder|case_id|subject_id|trial_id|row_index|point_index|activity_id|timestamp_s|elapsed_sec|dt_sec|lat|lon|ele_m|distance_m|heart_rate_bpm|route_dist_m|projected_route_dist_m|nearest_route_dist_m|reliable_route_dist_m|route_progress_reliable|route_progress_state|route_projection_confidence|route_projection_note|offset_m|segment_id|direction_hint|match_quality|source_file|sequence_match_score|candidate_rank|route_dist_delta_m|reliable_route_dist_delta_m|implied_route_speed_mps|sequence_jump_guard_flag|sequence_branch_ambiguity_flag|summit_dist_m|summit_reached_flag|candidate_phase|summit_transition_lock_applied|summit_transition_release_flag|source_csv_row_index|usable_on_route|excluded_reason|excursion_id|manual_override_applied|manual_event_id|manual_label|manual_interpretation|segment_role|route_progress_excluded|route_context_dist_m|route_context_ele_smooth|route_context_ele_gpx_m|route_context_slope_band_window_nlsc|route_context_terrain_window_risk_score|route_context_hydro_terrain_amplifier_score|route_context_osm_terrain_combined_risk_score|route_context_osm_terrain_combined_risk_band|route_context_osm_highway|route_context_osm_surface|route_context_surface_class|route_context_route_semantic_class|route_context_facility_flags|route_context_rest_flags|route_context_support_flags|route_context_hydrology_flags|route_context_visibility_class|route_context_osm_difficulty_class|route_context_join_dist_diff_m|route_context_match_status|activity_route_context_join_dist_col|route_context_model_status|route_context_model_usable|route_context_model_exclusion_reason|route_context_model_offset_col|route_context_model_max_offset_m|route_context_source_fp|activity_points_source_fp|route_context_model_status_v1c|route_context_model_usable_v1c,activity_mapmatch_or_wrong_branch_diagnostic_not_fork_inventory,False,"Branch ambiguity and wrong-branch diagnostics are useful navigation behavior context, but they do not enumerate route fork or decision point exposure."
outputs\activity_points_osm_nlsc_corrected_v1c_refit_mainline_offset3\qixing_lengshuikeng\43_1\qixing_lengshuikeng_43_1_activity_points_osm_nlsc_corrected_v1c.csv,True,11451,route_folder|case_id|subject_id|trial_id|row_index|point_index|activity_id|timestamp_s|elapsed_sec|dt_sec|lat|lon|ele_m|distance_m|heart_rate_bpm|route_dist_m|projected_route_dist_m|nearest_route_dist_m|reliable_route_dist_m|route_progress_reliable|route_progress_state|route_projection_confidence|route_projection_note|offset_m|segment_id|direction_hint|match_quality|source_file|sequence_match_score|candidate_rank|route_dist_delta_m|reliable_route_dist_delta_m|implied_route_speed_mps|sequence_jump_guard_flag|sequence_branch_ambiguity_flag|summit_dist_m|summit_reached_flag|candidate_phase|summit_transition_lock_applied|summit_transition_release_flag|source_csv_row_index|usable_on_route|excluded_reason|excursion_id|manual_override_applied|manual_event_id|manual_label|manual_interpretation|segment_role|route_progress_excluded|route_context_dist_m|route_context_ele_smooth|route_context_ele_gpx_m|route_context_slope_band_window_nlsc|route_context_terrain_window_risk_score|route_context_hydro_terrain_amplifier_score|route_context_osm_terrain_combined_risk_score|route_context_osm_terrain_combined_risk_band|route_context_osm_highway|route_context_osm_surface|route_context_surface_class|route_context_route_semantic_class|route_context_facility_flags|route_context_rest_flags|route_context_support_flags|route_context_hydrology_flags|route_context_visibility_class|route_context_osm_difficulty_class|route_context_join_dist_diff_m|route_context_match_status|activity_route_context_join_dist_col|route_context_model_status|route_context_model_usable|route_context_model_exclusion_reason|route_context_model_offset_col|route_context_model_max_offset_m|route_context_source_fp|activity_points_source_fp|route_context_model_status_v1c|route_context_model_usable_v1c,activity_mapmatch_or_wrong_branch_diagnostic_not_fork_inventory,False,"Branch ambiguity and wrong-branch diagnostics are useful navigation behavior context, but they do not enumerate route fork or decision point exposure."
outputs\activity_points_osm_nlsc_corrected_v1c_refit_mainline_offset3\qixing_lengshuikeng\44_1\qixing_lengshuikeng_44_1_activity_points_osm_nlsc_corrected_v1c.csv,True,7010,route_folder|case_id|subject_id|trial_id|row_index|point_index|activity_id|timestamp_s|elapsed_sec|dt_sec|lat|lon|ele_m|distance_m|heart_rate_bpm|route_dist_m|projected_route_dist_m|nearest_route_dist_m|reliable_route_dist_m|route_progress_reliable|route_progress_state|route_projection_confidence|route_projection_note|offset_m|segment_id|direction_hint|match_quality|source_file|sequence_match_score|candidate_rank|route_dist_delta_m|reliable_route_dist_delta_m|implied_route_speed_mps|sequence_jump_guard_flag|sequence_branch_ambiguity_flag|summit_dist_m|summit_reached_flag|candidate_phase|summit_transition_lock_applied|summit_transition_release_flag|source_csv_row_index|usable_on_route|excluded_reason|excursion_id|manual_override_applied|manual_event_id|manual_label|manual_interpretation|segment_role|route_progress_excluded|route_context_dist_m|route_context_ele_smooth|route_context_ele_gpx_m|route_context_slope_band_window_nlsc|route_context_terrain_window_risk_score|route_context_hydro_terrain_amplifier_score|route_context_osm_terrain_combined_risk_score|route_context_osm_terrain_combined_risk_band|route_context_osm_highway|route_context_osm_surface|route_context_surface_class|route_context_route_semantic_class|route_context_facility_flags|route_context_rest_flags|route_context_support_flags|route_context_hydrology_flags|route_context_visibility_class|route_context_osm_difficulty_class|route_context_join_dist_diff_m|route_context_match_status|activity_route_context_join_dist_col|route_context_model_status|route_context_model_usable|route_context_model_exclusion_reason|route_context_model_offset_col|route_context_model_max_offset_m|route_context_source_fp|activity_points_source_fp|route_context_model_status_v1c|route_context_model_usable_v1c,activity_mapmatch_or_wrong_branch_diagnostic_not_fork_inventory,False,"Branch ambiguity and wrong-branch diagnostics are useful navigation behavior context, but they do not enumerate route fork or decision point exposure."
outputs\activity_points_osm_nlsc_corrected_v1c_refit_mainline_offset3\qixing_lengshuikeng\45_1\qixing_lengshuikeng_45_1_activity_points_osm_nlsc_corrected_v1c.csv,True,7227,route_folder|case_id|subject_id|trial_id|row_index|point_index|activity_id|timestamp_s|elapsed_sec|dt_sec|lat|lon|ele_m|distance_m|heart_rate_bpm|route_dist_m|projected_route_dist_m|nearest_route_dist_m|reliable_route_dist_m|route_progress_reliable|route_progress_state|route_projection_confidence|route_projection_note|offset_m|segment_id|direction_hint|match_quality|source_file|sequence_match_score|candidate_rank|route_dist_delta_m|reliable_route_dist_delta_m|implied_route_speed_mps|sequence_jump_guard_flag|sequence_branch_ambiguity_flag|summit_dist_m|summit_reached_flag|candidate_phase|summit_transition_lock_applied|summit_transition_release_flag|source_csv_row_index|usable_on_route|excluded_reason|excursion_id|manual_override_applied|manual_event_id|manual_label|manual_interpretation|segment_role|route_progress_excluded|route_context_dist_m|route_context_ele_smooth|route_context_ele_gpx_m|route_context_slope_band_window_nlsc|route_context_terrain_window_risk_score|route_context_hydro_terrain_amplifier_score|route_context_osm_terrain_combined_risk_score|route_context_osm_terrain_combined_risk_band|route_context_osm_highway|route_context_osm_surface|route_context_surface_class|route_context_route_semantic_class|route_context_facility_flags|route_context_rest_flags|route_context_support_flags|route_context_hydrology_flags|route_context_visibility_class|route_context_osm_difficulty_class|route_context_join_dist_diff_m|route_context_match_status|activity_route_context_join_dist_col|route_context_model_status|route_context_model_usable|route_context_model_exclusion_reason|route_context_model_offset_col|route_context_model_max_offset_m|route_context_source_fp|activity_points_source_fp|route_context_model_status_v1c|route_context_model_usable_v1c,activity_mapmatch_or_wrong_branch_diagnostic_not_fork_inventory,False,"Branch ambiguity and wrong-branch diagnostics are useful navigation behavior context, but they do not enumerate route fork or decision point exposure."
outputs\activity_points_osm_nlsc_corrected_v1c_refit_mainline_offset3\qixing_lengshuikeng\46_1\qixing_lengshuikeng_46_1_activity_points_osm_nlsc_corrected_v1c.csv,True,10318,route_folder|case_id|subject_id|trial_id|row_index|point_index|activity_id|timestamp_s|elapsed_sec|dt_sec|lat|lon|ele_m|distance_m|heart_rate_bpm|route_dist_m|projected_route_dist_m|nearest_route_dist_m|reliable_route_dist_m|route_progress_reliable|route_progress_state|route_projection_confidence|route_projection_note|offset_m|segment_id|direction_hint|match_quality|source_file|sequence_match_score|candidate_rank|route_dist_delta_m|reliable_route_dist_delta_m|implied_route_speed_mps|sequence_jump_guard_flag|sequence_branch_ambiguity_flag|summit_dist_m|summit_reached_flag|candidate_phase|summit_transition_lock_applied|summit_transition_release_flag|source_csv_row_index|usable_on_route|excluded_reason|excursion_id|manual_override_applied|manual_event_id|manual_label|manual_interpretation|segment_role|route_progress_excluded|route_context_dist_m|route_context_ele_smooth|route_context_ele_gpx_m|route_context_slope_band_window_nlsc|route_context_terrain_window_risk_score|route_context_hydro_terrain_amplifier_score|route_context_osm_terrain_combined_risk_score|route_context_osm_terrain_combined_risk_band|route_context_osm_highway|route_context_osm_surface|route_context_surface_class|route_context_route_semantic_class|route_context_facility_flags|route_context_rest_flags|route_context_support_flags|route_context_hydrology_flags|route_context_visibility_class|route_context_osm_difficulty_class|route_context_join_dist_diff_m|route_context_match_status|activity_route_context_join_dist_col|route_context_model_status|route_context_model_usable|route_context_model_exclusion_reason|route_context_model_offset_col|route_context_model_max_offset_m|route_context_source_fp|activity_points_source_fp|route_context_model_status_v1c|route_context_model_usable_v1c,activity_mapmatch_or_wrong_branch_diagnostic_not_fork_inventory,False,"Branch ambiguity and wrong-branch diagnostics are useful navigation behavior context, but they do not enumerate route fork or decision point exposure."
outputs\activity_points_osm_nlsc_corrected_v1c_refit_mainline_offset3\qixing_lengshuikeng\48_1\qixing_lengshuikeng_48_1_activity_points_osm_nlsc_corrected_v1c.csv,True,11622,route_folder|case_id|subject_id|trial_id|row_index|point_index|activity_id|timestamp_s|elapsed_sec|dt_sec|lat|lon|ele_m|distance_m|heart_rate_bpm|route_dist_m|projected_route_dist_m|nearest_route_dist_m|reliable_route_dist_m|route_progress_reliable|route_progress_state|route_projection_confidence|route_projection_note|offset_m|segment_id|direction_hint|match_quality|source_file|sequence_match_score|candidate_rank|route_dist_delta_m|reliable_route_dist_delta_m|implied_route_speed_mps|sequence_jump_guard_flag|sequence_branch_ambiguity_flag|summit_dist_m|summit_reached_flag|candidate_phase|summit_transition_lock_applied|summit_transition_release_flag|source_csv_row_index|usable_on_route|excluded_reason|excursion_id|manual_override_applied|manual_event_id|manual_label|manual_interpretation|segment_role|route_progress_excluded|route_context_dist_m|route_context_ele_smooth|route_context_ele_gpx_m|route_context_slope_band_window_nlsc|route_context_terrain_window_risk_score|route_context_hydro_terrain_amplifier_score|route_context_osm_terrain_combined_risk_score|route_context_osm_terrain_combined_risk_band|route_context_osm_highway|route_context_osm_surface|route_context_surface_class|route_context_route_semantic_class|route_context_facility_flags|route_context_rest_flags|route_context_support_flags|route_context_hydrology_flags|route_context_visibility_class|route_context_osm_difficulty_class|route_context_join_dist_diff_m|route_context_match_status|activity_route_context_join_dist_col|route_context_model_status|route_context_model_usable|route_context_model_exclusion_reason|route_context_model_offset_col|route_context_model_max_offset_m|route_context_source_fp|activity_points_source_fp|route_context_model_status_v1c|route_context_model_usable_v1c,activity_mapmatch_or_wrong_branch_diagnostic_not_fork_inventory,False,"Branch ambiguity and wrong-branch diagnostics are useful navigation behavior context, but they do not enumerate route fork or decision point exposure."
